BA,Bosnia & Herceg
BY,Byelarus
CI,Cote Ivoire
CZ,Czech Republic
GB,England
GB,North Ireland
PG,Papua N Guinea
CN,Peoples R China
GB,Scotland
TT,Trinid & Tobago
AE,U Arab Emirates
US,USA
GB,Wales
