name,alias,country,region,lat,lon,isni
Abia State University,Abia State University; Abia State University,Nigeria,,5.8281748,7.3960036,
Abkhazian State University,Abchasische Universität; Universität Sochumi; Universität Suchum; Universität Suchumi; Sukhumi State University; Universidad estatal de abjasia; Сухумский государственный педагогический институт; Учебно-научный центр нартоведения и полевой фольклористики АГУ,Georgia,,42.97611111,41.06638889,
Abraham Lincoln University,,United States of America,California,34.0614,-118.301,
Abraham-Geiger-Kolleg,Abraham Geiger Kolleg,Germany,Brandenburg,52.4011,13.0119,
Abubakar Tafawa Balewa University,Abubakar Tafawa Balewa University,Nigeria,,10.3297704,9.8453553,
Academy of Arts in Tirana,Akademia e Arteve; Kunstakademie Tirana,Albania,,41.31789111,19.82020497,
"Academy of Arts, Architecture and Design in Prague","Umělecko-průmyslová škola v Praze; Uměleckoprůmyslová škola; UPŠ; VŠUP; Vysoká škola umělecko-průmyslová v Praze; Vysoká škola uměleckoprůmyslová; Academy of Art, Architecture and Design Prague; Schule für Kunsthandwerk Prag; Uměleckoprůmyslová škola; Vysoká škola umělecko-průmyslová; Ecole des arts appliques de Prague; École des arts appliqués de prague; VŠUP; ВШУП; College of Applied Arts in Prague",Czech Republic,,50.08869444,14.41483333,
Academy of Christian Humanism University,,Chile,Santiago,-33.4375,-70.6275,
Academy of Drama and Film in Budapest,SZFE; Színház- és Filmművészeti Főiskola,Hungary,Budapest,47.49527778,19.06611111,
Academy of Dramatic Art,Академия театрального искусства,Croatia,,45.80861111,15.97,
Academy of Economic Studies of Moldova,Academia de Studii Economice Chisinau; Academia de Studii Economice din Chișinău; Academia de Studii Economice din Moldova,Moldova,Chișinău,47.031013,28.838392,
Academy of Fine Arts,Акадэмія мастацтваў (Варшава); Акадэмія прыгожых мастацтваў (Варшава); Akademia Sztuk Pięknych; Akademia Sztuk Pięknych w Warszawie; Akademie der Schönen Künste (Warschau); Akademie der Schönen Künste Warschau; Academia de Bellas Artes en Varsovia; Académie des Beaux-Arts de Varsovie; Academie van Schone Kunsten van Warschau; Akademia Sztuk Pieknych w Warszawie; Akademia Sztuk Pięknych w Warszawie; Kunstacademie in Warschau; Kunstacademie van Warschau; ASP w Warszawie; Академия изящных искусств в Варшаве,Poland,Warsaw,52.23944,21.015,
Academy of Fine Arts,Академия художеств; ALU; Akademija likovnih umjetnosti,Croatia,,45.8121,15.9624,
Academy of Fine Arts,"Akademie der Bildenden Künste, Danzig; Académie des beaux-arts de Gdansk",Poland,,54.351,18.6484,
Academy of Fine Arts of Helsinki,Bildkonstakademin; Kuvataideakatemia; Academia de Bellas Artes Finlandia; Kuvataideakatemia; Suomen Taideakatemian koulu; Suomen Taideyhdistyksen piirustuskoulu; Taideakatemian koulu; Académie des Beaux-Arts d’Helsinki,Finland,,60.1825,24.96027778,
"Academy of Fine Arts, Rome",Accademia Belle Arti Roma; Accademia di belle Arti di Roma; Akademie der schönen Künste Rom; Academy of Fine Arts of Rome; Academy of Fine Arts Rome; Accademia delle Belle Arti di Roma; Accademia di Belle Arti di Roma; Accademia di belle arti (Roma); Accademia di Belle Arti (Roma); Accademia di Belle Arti di Roma,Italy,,41.90753,12.475817,
Academy of Foreign Intelligence,Академия внешней разведки СВР; КИ КГБ СССР; Краснознамённый имени Ю. В. Андропова институт КГБ СССР; Краснознаменный имени Ю.В. Андропова институт КГБ СССР; Краснознаменный институт им. Ю. В. Андропова; Краснознамённый институт им. Ю. В. Андропова; Краснознаменный институт КГБ; Краснознамённый институт КГБ; Краснознаменный институт КГБ СССР; Краснознамённый институт КГБ СССР; АЗР,Russia,,55.909416666667,37.652777777778,
Academy of Gondishapur,جندی‌شاپور; مدرسة جنديسابور الطبية; مدرسة جنديشابور; آکادمی جندی شاپور; اکادمی جندی شاپور; دانشگاه جندی شاپور; دانشگاه جندی شاپور اهواز; دانشگاه جندی‌شاپور; دانشگاه گندی شاپور; دانشگاه گندی‌شاپور; فرهنگستان گندیشاپور; گندیشاپور; Gundishapur; Academie de Gundishapur; Académie de gundishapur; Académie De Gundishapur; Academie van Gundishapur; Universitetet i Gundishapur; Gundeşapur akademisi,Iran,,32.283333,48.516667,
Academy of Labour and Social Relations,АТиСО; Высшая школа профсоюзного движения; Высшая школа профсоюзного движения ВЦСПС им. Н. М. Шверника; ОУП ВПО АТиСО,Russia,,55.756,37.618,
Academy of Land Forces,Академия сухопутных войск имени Гетмана Петра Сагайдачного; Академия Сухопутных войск имени Гетмана Петра Сагайдачного; Военный институт при Национальном университете «Львовская политехника»; Львовский военный институт; Львовский военный институт при Национальном университете «Львовская политехника»; Львовский военный ордена Красной Звезды институт имени гетмана Петра Сагайдачного; Львівське вище військово-політичне училище; Львівський військовий інститут,Ukraine,,49.82573284,24.01834501,
Academy of Music and Music Communication,VMK,Denmark,Esbjerg Municipality,55.4705,8.4507,
Academy of Performing Arts,Akademie muzických umění; Akademie múzických umění; Prager Musikakademie; Academy of Performing Arts in Prague; Academie tcheque des arts musicaux; Académie Tchèque Des Arts Musicaux; Akademie muzickych umeni v Praze; Akademie múzických umení v Praze; Akademie múzických umění v Praze; Akademie van de muzikale Kunsten; Akademie múzických umění v Praze; Академия музыкального искусства (Прага); Пражская Академия музыкального искусства; Пражская академия музыки; Пражская музыкальная академия; Akadémia múzických umení v Prahe; Празька академія музичних мистецтв; Akademie múzických umění v Praze,Czech Republic,Prague,50.0875,14.40194444,
Academy of Physical and Sports Education Vojo Kushi,,Albania,,41.33055556,19.80194444,
Academy of Public Administration,Verwaltungsakademie; Акадэмія кіравання; Акадэмія кіравання пры прэзідэнце Беларусі; Academia de Direccion adjunta al Presidente de la Republica de Belarus; Академия государственного управления при Президенте Республики Беларусь; Академия при Президенте РБ; Академия управления Беларуси; Академия управления при Кабинете Министров Республики Беларусь; Академия управления при Совете Министров БССР; Академия управления при Совете Министров Республики Беларусь; АУ при Президенте РБ; АУ РБ; АУпПРБ; АУПРБ,Belarus,Minsk,53.886667,27.538889,
Academy of the Ministry of Internal Affairs,Акадэмія МУС РБ; Акадэмія МУС Рэспублікі Беларусь; Академия министерства внутренних дел Белоруссии; Академия Министерства внутренних дел Республики Беларусь; Минская высшая школа МВД СССР,Belarus,,53.91250001,27.57694445,
Acadia University,Acadia University; Universidad de acadia; Acadia college; Acadia University; Universite Acadia; 阿卡迪亞大學,Canada,Nova Scotia,45.091125,-64.361427777778,
Accademia Albertina,Accademia Albertina delle Belle Arti; Albertine Academy of Fine Arts; Accademia Albertina di Belle Arti; Regia Accademia Albertina,Italy,Turin,45.0675,7.68944444,
Accademia Nazionale di Arte Drammatica Silvio D'Amico,Académie Nationale d'Art Dramatique; Accademia d'arte drammatica; Accademia Nazionale d'Arte Drammatica; Accademia Nazionale d'Arte Drammatica Silvio D'Amico,Italy,Rome,41.92000278,12.49342222,
Accademia nazionale di Santa Cecilia,,Italy,,41.929,12.4745,
Acharya N. G. Ranga Agricultural University,PJTSAU; Professor Jayashankar Telangana State Agricultural University; అచార్య N.G. రంగా వ్యవసాయ విశ్వవిద్యాలయం; ఆచార్య N.G.రంగా వ్యవసాయ విశ్వవిద్యాలయం; ఆచార్య N.G.రంగా వ్యవసాయ విశ్వవిద్యాలయము; ఆంధ్రప్రదేశ్ వ్యవసాయ విశ్వవిద్యాలయం,India,India,17.32151111,78.40981111,
Acharya Nagarjuna University,ఆచార్య నాగార్జున విశ్వవిద్యాలయము; నాగార్జున విశ్వవిద్యాలయం; నాగార్జున విశ్వవిద్యాలయము; నాగార్జునా యూనివర్సిటీ,India,Namburu,16.375322222222,80.528583333333,
Acıbadem University,Acıbadem üniversitesi,Turkey,,40.92527778,29.15444444,
Adam Mickiewicz University in Poznań,"Adam-Mickiewicz-Universität; Piasten-Universität; Piastenuniversität; Universität Posen; Universität Poznan; Universität Poznań; Uniwersytet im. Adama Mickiewicza; (Adam Mickiewicz Universitato); Adam Mickiewicz University; Universitato Adam Mickiewicz; Universitato Adam Mickiewicz en Poznan; Universitato Adam Mickiewicz en Poznań; Universitato de Adam Mickiewicz; Universitato de Poznań; Universitato de Poznano; Uniwersytet Adama Mickiewicza; Uniwersytet Adama Mickiewicza w Poznaniu; Universidad Adam Mickiewicz de Poznan; Universidad de Poznan Adam Mickiewicz; Universidad de Poznan, Adam Mickiewicz; UAM; université Adam Mickiewicz; université Adam Mickiewicz de Poznań; université de Poznan; université de Poznań; アダム・ミツキェヴィッチ大学; ピャスト大学; ポズナニ大学; ポズナン大学; UAM; Universitetet i Poznań; Uniwersytet im. Adama Mickiewicza; Adam Mickiewicz Universiteit Poznan; Adam Mickiewicz Universiteit Poznań; Universiteit van Poznan; Universiteit van Poznań; UAM; Uniwersytet Adama Mickiewicza; Uniwersytet Adama Mickiewicza w Poznaniu; Uniwersytet im. Adama Mickiewicza; Uniwersytet imienia Adama Mickiewicza; Uniwersytet Poznański; Wszechnica Piastowska; Uniwersytet im. Adama Mickiewicza w Poznaniu; Университет Адама Мицкевича; Университет имени Адама Мицкевича; Познанський університет; Університет імені Адама Міцкевича; Університе́т імені Ада́ма Міцке́вича у Познані",Poland,Poznań,52.407777777778,16.915555555556,0000 0001 2097 3545
Adams State University,,United States of America,,37.471231,-105.879536,
Addis Ababa University,AAU; አዲስ አበባ ዩኒቨርሲቲ; Addis-Abeba-Universität; Universidad de Adis Abeba; Université d'Addis Abeba; Université d’Addis Abeba; Universitas Neanthopolis; Addis Ababa University,Ethiopia,Addis Ababa,9.0466666666667,38.759166666667,0000 0001 1250 5688
Adelaide College of the Arts,,,,-34.92456,138.59208,
Adelphi University,دانشگاه ادلفی; Adelphi University; アデルフィ大学,United States of America,New York,40.7202,-73.6517,
Adiban Institute of Higher Education,,Iran,,35.7686,51.2792,
Adikavi Nannaya University,,India,,17.01706667,81.78274167,
Admiral Makarov National University of Shipbuilding,Николаевский кораблестроительный институт; Николаевский кораблестроительный институт имени адмирала Макарова; НУК им. Адмирала Макарова; Украинский государственный морской технический университет; Украинский государственный морской технический университет им. Адмирала Макарова; Миколаївський кораблебудівельний інститут; Миколаївський кораблебудівний інститут; МКІ; Український державний морський технічний університет імені адмірала Макарова,Ukraine,,46.987908,32.002316,
Adnan Menderes University,Adnan Menderes Üniversitesi; ADU; Adnan menderes üniversitesi; Adü,Turkey,Efeler,37.85472222,27.85472222,
Adolfo Ibáñez University,,Chile,Santiago,-33.486,-70.518,
Advanced Institute of Industrial Technology,,Japan,Tokyo,35.607002,139.749107,
Advanced Learning and Research Institute,AlaRI,Switzerland,,46.01072,8.9585,
Adıyaman University,Adıyaman Üniversitesi; ADYÜ; Adıyaman üniversitesi,Turkey,,37.74388889,38.23166667,
Aeronautical College of Bangladesh,,,,23.874898,90.387425,
Afghan Defense University,,Afghanistan,,34.5542,69.0315,
Afghanistan Technical Vocational Institute,ATVI-ATVI Afghanistan-Afghanistan ATVI-Afghanistan Technical Institute-Afghanistan Technical Vocational Institute-Kabul Institute; انستیوت تعلیمات تخنیکی مسلکی افغانستان; د افغانستان دتخنیکي مسلکي زده کړو انسټیټوټ,Afghanistan,,34.514386305556,69.139431194444,
Africa University,Africa University,Zimbabwe,Mutare,-18.8975,32.6011,
African Bible College,,Uganda,,0.2404,32.5646,
African Methodist Episcopal University,,Liberia,,6.31037,-10.80101,
African Rural University,,Uganda,Kibaale District,0.94265,30.8171,
Afyon Kocatepe University,Afyon Kocatepe Üniversitesi; AKU; Afyon kocatepe üniversitesi; Afyonkarahisar Kocatepe Üniversitesi; Kocatepe Üniversitesi,Turkey,Afyonkarahisar,38.80833,30.53549,
Aga Khan University,Aga Khan University; AKU,Uganda,,24.8928,67.0747,
Agostinho Neto University,Universität Agostinho Neto; アゴスティニョ・ネト大学; Universidade de Luanda; Universidade Agostinho Neto,Angola,Luanda,-8.9419,13.28027,
Agricultural Academy in Dublany,Państwowy Lwowski Uniwersytet Rolniczy; ЛДАУ; Львівський державний аграрний університет; Львівський сільськогосподарський інститут; Сільськогосподарська академія в Дублянах,Ukraine,,49.9,24.092,
"Agricultural College and Research Institute, Killikulam",,India,,8.70339,77.8596,
Agricultural State University of Moldova,,Moldova,,47.062,28.809,
Agricultural University of Athens,Γεωπονικό Πανεπιστήμιο; Universidad Agrícola de Atenas; Universidad de agricultura de atenas; Universite d'agriculture d'Athenes; Université d'agriculture d'athènes; Université d’Agriculture d’Athènes; Аграрный университет (Афины); ピレウス技術教育研究所,Greece,Athens,37.98388889,23.70555556,
Agricultural University of Cracow,Akademia Rolnicza w Krakowie; Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie; Agricultural University of Krakow; Agricultural University of Kraków; Académie d'agriculture Hugo Kołłątaj de Cracovie; École supérieure d'agriculture Hugo Kollątaj; Akademia Rolnicza w Krakowie; Uniwersytet Rolniczy w Krakowie; Wydział Rolniczy Uniwersytetu Jagiellońskiego; Wyższa Szkoła Rolnicza w Krakowie,Poland,Kraków,50.06472222,19.92472222,
Agricultural University of Havana,,Cuba,,22.9983,-82.1486,
Agricultural University of Iceland,LbhÍ; Islands landbrukshøyskole; Landbunadarhaskoli Islands; LbhÍ; Lbhl,Iceland,,64.56111111,-21.76972222,
Agricultural University of Tajikistan,Таджикский сельскохозяйственный институт,,,38.6094,68.7869,
Agricultural University of Tirana,,Albania,,41.3622996,19.77105618,
Ahlia University,,Bahrain,,26.2359,50.593,
